Date,Open,High,Low,Close,Volume,Adj Close
2012-01-26,31.24,32.87,31.08,32.44,2090300,32.44
2012-01-25,31.14,31.55,30.64,30.97,826400,30.97
2012-01-24,31.08,31.19,30.25,31.09,942400,31.09
2012-01-23,30.62,31.84,30.51,31.38,1113500,31.38
2012-01-20,31.18,31.29,30.45,30.69,1235000,30.69
2012-01-19,29.90,31.17,29.84,31.00,1819100,31.00
2012-01-18,29.46,29.90,28.95,29.89,1009800,29.89
2012-01-17,28.77,29.75,28.76,29.51,1362700,29.51
2012-01-16,28.55,28.97,27.93,28.41,1514500,28.41
2012-01-13,29.28,29.61,28.42,29.14,1170600,29.14
2012-01-12,28.68,29.49,28.68,29.00,1108900,29.00
2012-01-11,27.65,28.92,27.65,28.51,1665900,28.51
2012-01-10,26.58,28.00,26.55,27.70,1765200,27.70
2012-01-09,26.94,27.11,26.07,26.21,1006500,26.21
2012-01-06,27.04,27.39,26.74,26.93,650500,26.93
2012-01-05,27.78,27.86,26.81,26.97,1131400,26.97
2012-01-04,28.11,28.32,27.60,27.80,997500,27.80
2012-01-03,27.83,28.38,27.42,28.25,1081000,28.25
2012-01-02,27.28,27.80,27.15,27.64,541100,27.64
2011-12-30,26.55,27.19,26.45,27.16,565700,27.16
2011-12-29,26.18,26.47,25.91,26.47,387000,26.47
2011-12-28,26.34,26.57,26.04,26.10,591800,26.10
2011-12-27,26.35,26.46,26.20,26.36,304700,26.36
2011-12-23,26.75,26.84,26.27,26.40,396900,26.40
2011-12-22,26.02,26.60,26.02,26.43,803800,26.43
2011-12-21,26.65,26.94,25.75,25.91,1071800,25.91
2011-12-20,25.10,26.45,25.07,26.30,1204600,26.30
2011-12-19,25.16,25.82,25.00,25.16,1160800,25.16
2011-12-16,25.69,25.76,25.31,25.49,1600300,25.49
2011-12-15,25.24,25.70,25.06,25.43,1222300,25.43
2011-12-14,25.55,25.95,25.03,25.12,1432200,25.12
2011-12-13,26.47,26.67,25.62,25.90,1285100,25.90
2011-12-12,27.34,27.50,26.33,26.33,1457800,26.33
2011-12-09,26.24,27.71,26.20,27.55,1563600,27.55
2011-12-08,28.15,28.33,26.53,26.58,1625600,26.58
2011-12-07,28.53,28.78,27.23,27.86,1278000,27.86
2011-12-06,28.22,28.68,27.80,28.14,1121600,28.14
2011-12-05,27.92,28.77,27.79,28.59,1350200,28.59
2011-12-02,27.44,27.97,27.42,27.55,1101900,27.55
2011-12-01,27.20,27.76,26.68,27.03,1417800,27.03
2011-11-30,24.95,27.18,24.70,27.08,2372300,27.08
2011-11-29,24.82,25.46,24.45,25.20,948700,25.20
2011-11-28,23.76,25.09,23.70,25.03,1636300,25.03
2011-11-25,23.34,23.67,22.82,23.42,1203800,23.42
2011-11-24,23.24,24.08,23.16,23.39,1746200,23.39
2011-11-23,23.28,23.88,22.97,23.00,1555200,23.00
2011-11-22,24.94,25.16,23.56,23.56,1647500,23.56
2011-11-21,25.53,25.53,24.44,24.56,1661500,24.56
2011-11-18,25.06,25.68,25.01,25.55,1614100,25.55
2011-11-17,26.00,26.15,25.08,25.16,1812300,25.16
2011-11-16,26.34,26.80,25.84,26.08,1685200,26.08
2011-11-15,27.50,27.77,26.40,26.40,2098500,26.40
2011-11-14,28.73,28.85,27.45,27.57,1136800,27.57
2011-11-11,27.43,28.40,27.30,28.40,1271000,28.40
2011-11-10,26.84,28.33,26.70,27.33,1527500,27.33
2011-11-09,29.20,29.55,27.21,27.51,1881000,27.51
2011-11-08,28.65,29.43,28.65,28.88,1405200,28.88
2011-11-07,29.00,29.67,28.10,28.68,1841400,28.68
2011-11-04,30.87,31.88,29.29,29.56,4014400,29.56
2011-11-03,27.00,29.67,26.93,29.42,2670900,29.42
2011-11-02,27.76,27.97,26.85,27.72,1556200,27.72
2011-11-01,28.53,28.61,27.05,27.22,2327400,27.22
2011-10-31,29.95,30.38,29.48,29.48,1506200,29.48
2011-10-28,31.00,31.82,30.26,30.60,1702400,30.60
